school_name,conf_abbr,class,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos-dum,sos,player
Memphis,,,40,39,29.2,5.2,10.9,.477,4.3,8.3,.521,0.9,2.6,.337,3.7,5.1,.712,1.4,3.2,4.5,4.7,1.2,0.4,2.7,1.7,14.9,,5.76,Derrick Rose
Kansas State,,,33,33,31.5,9.3,17.5,.532,8.2,14.6,.562,1.1,2.9,.379,6.5,8.5,.774,4.0,8.4,12.4,1.2,1.3,1.6,2.9,2.6,26.2,,7.79,Michael Beasley
USC,,,33,32,36.8,7.2,16.2,.442,4.5,9.7,.464,2.7,6.5,.409,3.7,4.6,.803,1.1,3.5,4.5,3.3,1.5,0.4,3.5,2.4,20.7,,8.59,O.J. Mayo
UCLA,,,75,35,21.9,3.1,6.6,.464,2.6,5.3,.491,0.5,1.3,.354,1.7,2.4,.685,0.9,1.5,2.4,2.5,1.0,0.1,1.6,1.7,8.3,,8.77,Russell Westbrook
UCLA,,,39,38,29.6,5.8,10.4,.559,5.1,8.3,.611,0.7,2.1,.354,5.1,6.6,.767,3.6,7.0,10.6,1.9,0.7,1.4,2.0,1.9,17.5,,7.71,Kevin Love
Indiana,,,32,32,34.7,5.8,13.3,.433,3.6,6.8,.525,2.2,6.5,.337,7.2,8.7,.834,0.7,2.5,3.3,2.4,1.3,0.6,3.6,2.2,20.9,,6.08,Eric Gordon
West Virginia,,,82,70,25.3,4.5,10.0,.447,3.9,7.9,.488,0.6,2.1,.295,2.5,3.3,.765,1.5,3.3,4.8,2.0,0.6,1.2,1.8,2.2,12.1,,7.04,Joe Alexander
Texas,,,73,73,36.5,5.4,12.2,.443,3.8,8.2,.463,1.6,4.1,.402,4.4,5.5,.808,0.6,2.3,2.9,6.2,1.4,0.0,3.0,1.9,16.9,,7.35,D.J. Augustin
Stanford,,,53,43,28.0,6.1,12.7,.480,6.1,12.3,.491,0.1,0.4,.143,3.7,4.9,.764,2.3,4.8,7.1,1.1,0.5,1.9,2.1,2.6,16.0,,8.01,Brook Lopez
Arizona,,,30,30,35.7,5.8,12.6,.458,3.8,7.8,.489,2.0,4.8,.407,6.2,7.4,.839,0.4,2.3,2.7,4.0,1.0,0.1,3.0,2.2,19.7,,10.22,Jerryd Bayless
Rider,,,122,112,32.1,6.2,11.8,.526,6.0,11.0,.544,0.2,0.8,.291,4.0,6.0,.667,3.0,6.6,9.6,2.0,0.9,1.9,2.6,3.0,16.7,,-3.38,Jason Thompson
Kansas,,,109,101,31.3,4.9,10.9,.449,3.0,6.6,.458,1.9,4.3,.435,1.8,2.5,.733,1.5,4.0,5.5,2.0,0.7,0.8,2.1,1.5,13.6,,7.56,Brandon Rush
LSU,,,31,31,32.8,5.9,12.7,.464,5.8,12.1,.483,0.1,0.6,.105,3.7,5.4,.693,2.8,5.7,8.5,1.2,1.1,2.3,3.0,2.7,15.6,,5.66,Anthony Randolph
Oklahoma,,,68,63,30.9,7.1,11.5,.618,7.1,11.4,.622,0.0,0.1,.300,4.5,7.7,.589,3.6,8.3,11.8,2.1,1.1,1.0,2.8,2.5,18.8,,7.37,Blake Griffin
UConn,,,100,99,29.3,3.6,5.9,.611,3.6,5.9,.611,0.0,0.0,,3.1,5.0,.625,3.0,5.4,8.5,0.4,0.4,4.2,1.8,2.6,10.3,,7.14,Hasheem Thabeet
Arizona State,,,69,68,35.0,6.0,11.9,.506,4.6,8.0,.570,1.5,3.9,.376,5.4,7.2,.755,1.3,4.1,5.4,3.7,1.9,0.4,3.0,2.5,19.0,,7.05,James Harden
Memphis,,,37,35,29.0,6.2,13.6,.455,5.3,10.3,.514,0.9,3.4,.274,3.7,5.2,.711,1.3,4.1,5.4,3.9,2.1,0.8,3.6,2.4,17.1,,4.63,Tyreke Evans
Syracuse,,,73,73,36.5,5.6,12.2,.460,4.2,8.1,.525,1.4,4.2,.333,4.0,5.1,.782,0.6,2.1,2.7,6.0,1.5,0.2,3.1,1.5,16.6,,8.72,Jonny Flynn
Davidson,,,104,103,32.6,8.4,17.9,.467,4.4,8.3,.530,4.0,9.7,.412,4.6,5.3,.876,0.8,3.8,4.5,3.7,2.1,0.3,3.0,2.4,25.3,,-1.31,Stephen Curry
Arizona,,,97,79,27.0,5.1,8.8,.578,5.1,8.8,.578,0.0,0.0,,2.3,3.6,.636,2.8,5.1,7.9,0.8,0.5,1.4,2.0,2.7,12.5,,9.93,Jordan Hill
USC,,,35,35,33.4,5.5,10.5,.523,5.3,9.5,.562,0.2,1.0,.167,2.7,4.2,.646,2.4,3.3,5.7,1.5,0.9,0.4,2.1,2.1,13.9,,9.15,DeMar DeRozan
Louisville,,,140,127,32.2,4.1,10.3,.400,2.7,6.0,.457,1.4,4.4,.320,1.5,2.6,.589,1.5,5.5,6.9,3.9,1.5,0.6,2.4,1.9,11.2,,7.65,Terrence Williams
Duke,,,103,79,25.3,4.4,9.7,.458,3.8,7.6,.493,0.7,2.0,.329,2.7,3.9,.706,1.2,3.0,4.2,1.8,1.0,0.7,1.9,1.7,12.3,,9.61,Gerald Henderson
UNC,,,142,141,30.9,6.6,12.3,.536,6.5,12.1,.541,0.1,0.3,.316,6.9,8.7,.791,3.4,5.2,8.6,1.1,1.3,0.5,2.1,2.5,20.2,,8.39,Tyler Hansbrough
Louisville,,,104,63,26.7,4.0,8.6,.467,3.5,6.8,.512,0.5,1.8,.298,2.0,3.2,.640,2.1,4.9,7.0,1.7,0.9,1.2,2.1,1.7,10.6,,8.03,Earl Clark
Kentucky,,,37,37,34.8,5.5,11.8,.461,4.5,8.8,.509,1.0,3.1,.325,4.7,6.3,.754,0.8,3.5,4.3,6.5,1.8,0.5,4.0,1.9,16.6,,6.82,John Wall
Ohio State,,,101,94,32.8,5.3,10.6,.502,4.8,9.1,.525,0.5,1.5,.362,3.8,5.0,.758,1.5,5.3,6.8,4.1,1.6,0.7,3.5,2.7,15.0,,7.86,Evan Turner
Georgia Tech,,,36,35,27.5,5.0,8.1,.611,5.0,8.1,.613,0.0,0.0,.000,2.5,4.0,.629,3.0,5.4,8.4,1.0,0.9,2.1,2.5,2.6,12.4,,9.02,Derrick Favors
Syracuse,,,35,35,35.0,5.9,11.8,.502,4.5,8.3,.540,1.5,3.5,.415,3.2,4.1,.772,2.1,6.4,8.5,2.2,1.7,1.8,2.3,2.1,16.5,,,Wes Johnson
Kentucky,,,38,37,23.5,5.4,9.7,.558,5.4,9.6,.565,0.0,0.2,.167,4.3,7.1,.604,4.1,5.8,9.8,1.0,1.0,1.8,2.1,3.2,15.1,,6.82,DeMarcus Cousins
Baylor,,,36,36,35.1,5.3,10.8,.490,5.1,10.1,.505,0.2,0.7,.269,3.1,4.5,.685,3.6,6.2,9.8,2.7,0.8,3.7,2.4,2.4,13.9,,,Ekpe Udoh
Georgetown,,,65,65,32.6,5.3,9.8,.543,5.2,9.3,.558,0.1,0.5,.273,3.7,5.5,.677,2.1,6.1,8.2,3.2,1.5,1.5,2.9,2.5,14.5,,9.26,Greg Monroe
Wake Forest,,,62,60,30.1,5.0,10.6,.476,4.6,8.9,.522,0.4,1.7,.238,3.9,5.7,.687,3.3,6.1,9.4,1.4,1.2,1.3,2.9,2.8,14.4,,8.10,Al-Farouq Aminu
Butler,,,69,69,33.1,4.3,9.2,.470,2.6,4.6,.569,1.7,4.6,.369,4.1,4.9,.824,1.7,5.7,7.4,1.8,1.3,0.9,2.0,2.1,14.4,,3.57,Gordon Hayward
Fresno State,,,63,63,33.9,5.1,11.4,.447,3.1,6.5,.485,1.9,4.9,.396,3.4,4.2,.803,1.9,4.8,6.7,2.4,2.0,0.9,2.7,2.8,15.5,,1.13,Paul George
Kansas,,,111,71,21.0,3.5,6.1,.574,3.5,6.1,.574,0.0,0.0,,2.3,3.2,.729,2.3,5.5,7.7,0.6,0.5,2.3,1.2,2.1,9.4,,8.12,Cole Aldrich
Kansas,,,36,36,27.5,4.5,9.8,.458,2.6,5.3,.492,1.9,4.6,.418,2.5,3.2,.783,1.2,3.2,4.4,1.5,1.5,0.5,1.9,1.8,13.4,,8.25,Xavier Henry
UNC,,,61,25,22.2,3.4,6.3,.548,3.4,6.3,.548,0.0,0.0,,2.3,3.7,.623,2.4,5.3,7.7,0.7,0.4,2.1,1.4,1.9,9.2,,9.09,Ed Davis
Kentucky,,,97,97,34.0,6.4,10.9,.585,6.1,10.1,.604,0.2,0.8,.329,3.2,4.3,.734,2.9,5.3,8.2,1.5,0.7,1.6,1.6,2.1,16.1,,6.24,Patrick Patterson
Duke,,,11,8,27.5,5.0,9.5,.529,3.4,5.9,.569,1.6,3.5,.462,5.8,6.5,.901,0.5,2.8,3.4,4.3,1.5,0.5,2.5,2.1,17.5,,8.32,Kyrie Irving
Arizona,,,69,68,29.2,5.6,9.6,.586,5.0,8.3,.598,0.7,1.3,.511,5.9,8.2,.719,2.5,5.2,7.7,0.9,0.8,0.7,2.3,2.7,17.8,,8.05,Derrick Williams
North Texas,,,128,99,25.5,3.6,8.2,.439,2.2,4.6,.472,1.4,3.6,.396,4.1,5.0,.816,0.6,2.1,2.8,1.3,0.6,0.1,1.7,1.8,12.7,,-3.82,Tristan Thompson
Kentucky,,,38,38,35.9,5.7,13.5,.423,3.4,7.4,.461,2.3,6.1,.377,3.6,4.5,.795,0.7,3.4,4.0,4.2,0.7,0.2,3.2,2.2,17.3,,8.91,Brandon Knight
UConn,,,111,77,32.9,5.2,12.2,.428,4.1,8.7,.469,1.1,3.5,.326,4.5,5.8,.783,1.0,3.4,4.4,4.1,1.7,0.3,2.3,1.5,16.1,,9.39,Kemba Walker
BYU,,,139,102,29.6,6.0,13.3,.455,3.9,7.8,.497,2.1,5.4,.394,4.5,5.1,.882,0.5,2.1,2.6,3.7,1.2,0.1,2.5,1.2,18.7,,3.56,Jimmer Fredette
Washington State,,,98,96,34.4,6.1,14.4,.424,3.6,8.1,.450,2.5,6.3,.390,3.2,3.9,.827,0.9,3.9,4.8,2.6,1.3,0.8,2.9,2.5,17.9,,6.32,Klay Thompson
Colorado,,,68,67,30.9,6.2,12.6,.495,5.5,10.4,.533,0.7,2.2,.313,5.9,7.3,.804,2.2,3.6,5.8,2.4,1.1,0.4,2.3,2.4,19.0,,6.65,Alec Burks
Kansas,,,109,43,19.3,3.1,5.7,.553,2.8,4.8,.579,0.3,0.9,.404,1.9,2.9,.653,2.0,4.1,6.1,1.2,0.6,0.9,1.6,2.7,8.5,,7.92,Markieff Morris
Kansas,,,109,90,24.0,4.7,8.4,.555,4.3,7.3,.585,0.4,1.1,.358,2.9,4.3,.660,2.4,3.8,6.2,1.3,0.9,0.4,1.6,2.6,12.6,,7.92,Marcus Morris
Kentucky,,,40,40,32.0,5.3,8.4,.623,5.2,7.9,.653,0.1,0.5,.150,3.6,5.1,.709,3.0,7.4,10.4,1.3,1.4,4.7,1.0,2.0,14.2,,7.93,Anthony Davis
Kentucky,,,40,39,31.1,4.0,8.2,.491,3.7,6.9,.535,0.3,1.3,.255,3.6,4.8,.745,2.6,4.9,7.4,1.9,1.0,0.9,2.2,2.4,11.9,,7.93,Michael Kidd-Gilchrist
Florida,,,37,37,34.2,4.7,10.6,.445,3.0,5.6,.541,1.7,5.0,.339,3.6,4.7,.769,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1,14.8,,7.33,Bradley Beal
Syracuse,,,71,0,20.4,3.5,7.7,.453,2.5,4.9,.513,1.0,2.8,.348,1.8,2.3,.753,0.4,1.5,1.9,2.0,1.5,0.2,1.1,1.6,9.7,,8.40,Dion Waiters
Kansas,,,105,42,18.7,3.8,7.2,.525,3.7,7.0,.525,0.1,0.1,.500,2.2,3.6,.606,2.1,5.2,7.3,1.0,0.6,0.7,1.6,2.1,9.8,,8.60,Thomas Robinson
Weber State,,,104,98,32.3,5.6,12.6,.446,3.3,6.5,.497,2.4,6.1,.390,5.0,5.8,.867,0.4,3.9,4.3,3.5,1.2,0.2,2.4,2.1,18.6,,-2.21,Damian Lillard
UNC,,,75,73,29.3,5.8,13.6,.430,4.3,9.1,.469,1.5,4.4,.349,3.1,4.3,.734,2.0,3.5,5.5,1.3,0.9,0.4,1.9,1.9,16.3,,8.61,Harrison Barnes
Washington,,,69,39,24.4,4.6,10.1,.453,2.9,5.5,.528,1.7,4.6,.364,1.4,1.8,.764,1.1,3.5,4.7,1.2,0.9,0.7,1.4,2.4,12.3,,6.51,Terrence Ross
UConn,,,34,30,28.4,4.6,8.6,.538,4.6,8.5,.541,0.0,0.1,.000,0.8,2.6,.295,3.4,4.2,7.6,0.4,0.8,2.7,1.5,2.2,10.0,,8.07,Andre Drummond
Duke,,,34,33,33.2,5.1,11.8,.433,3.4,7.1,.477,1.7,4.7,.365,3.6,5.4,.658,0.6,2.8,3.4,2.1,1.0,0.0,2.3,2.2,15.5,,8.40,Austin Rivers
Illinois,,,65,30,19.8,3.0,5.4,.567,3.0,5.2,.585,0.0,0.2,.083,1.6,2.2,.729,1.3,3.4,4.7,0.7,0.3,1.1,1.4,2.2,7.7,,9.55,Meyers Leonard
UConn,,,75,74,32.1,5.3,11.0,.482,3.8,6.6,.573,1.6,4.5,.348,1.9,2.4,.806,1.1,3.6,4.7,1.7,1.0,0.6,1.6,1.6,14.1,,9.25,Jeremy Lamb
UNC,,,73,55,28.8,2.5,5.6,.446,1.8,3.8,.484,0.7,1.8,.366,1.5,2.2,.693,0.2,2.2,2.3,8.0,1.1,0.1,2.6,1.5,7.2,,8.61,Kendall Marshall
UNC,,,109,82,23.8,4.4,8.8,.497,4.3,8.5,.505,0.0,0.2,.208,1.6,3.2,.484,2.5,5.7,8.1,1.0,0.6,2.5,1.5,1.5,10.3,,9.02,John Henson
UNLV,,,35,31,27.1,5.8,10.8,.533,4.7,8.1,.587,1.0,2.7,.375,3.5,5.1,.701,2.5,5.7,8.1,1.0,0.7,1.2,1.9,2.3,16.1,,5.60,Anthony Bennett
Indiana,,,104,75,24.6,3.9,7.3,.538,3.4,5.9,.585,0.5,1.4,.338,2.5,3.5,.716,2.0,3.2,5.2,1.7,1.5,0.5,2.0,2.4,10.7,,7.95,Victor Oladipo
Georgetown,,,64,38,32.5,4.6,9.2,.498,3.7,6.8,.550,0.9,2.4,.355,2.8,3.8,.751,1.9,5.3,7.1,2.1,1.5,0.9,1.3,2.0,12.8,,7.65,Otto Porter Jr.
Indiana,,,72,72,29.0,5.5,9.4,.592,5.5,9.3,.594,0.0,0.0,.000,5.0,6.6,.756,2.6,4.7,7.3,1.3,1.2,1.2,2.0,2.5,16.1,,8.09,Cody Zeller
Maryland,,,60,48,24.5,3.8,7.0,.538,3.7,6.8,.548,0.0,0.2,.111,2.2,3.3,.663,2.4,4.5,7.0,0.8,0.2,2.1,1.6,2.6,9.7,,5.33,Alex Len
Kentucky,,,24,24,31.9,4.1,6.9,.590,4.1,6.9,.590,0.0,0.0,,2.3,4.3,.529,2.7,6.8,9.5,1.6,2.1,4.4,1.9,2.6,10.5,,5.81,Nerlens Noel
Kansas,,,37,36,32.2,5.4,10.8,.495,3.4,6.1,.553,2.0,4.7,.420,3.2,3.7,.870,1.3,3.9,5.2,2.0,1.0,0.7,2.1,1.9,15.9,,7.55,Ben McLemore
Georgia,,,64,60,33.0,5.3,12.7,.415,3.0,5.9,.504,2.3,6.9,.339,2.9,3.9,.752,1.3,4.8,6.1,1.5,1.9,0.4,1.6,2.2,15.8,,7.06,Kentavious Caldwell-Pope
Michigan,,,73,71,35.7,6.0,13.3,.450,4.2,8.3,.499,1.8,5.0,.367,3.1,4.0,.777,0.6,2.7,3.3,5.7,1.3,0.5,2.5,1.7,16.9,,9.52,Trey Burke
Lehigh,,,111,108,32.9,6.9,15.7,.439,5.0,10.5,.470,2.0,5.2,.377,5.5,6.7,.825,1.5,4.8,6.3,2.7,2.1,0.5,2.4,1.8,21.3,,-5.41,CJ McCollum
Syracuse,,,66,40,25.4,2.7,6.8,.398,2.1,4.8,.438,0.6,2.1,.307,2.2,3.2,.679,0.9,2.7,3.6,5.2,2.0,0.4,2.3,1.8,8.2,,8.29,Michael Carter-Williams
Pitt,,,32,32,23.4,3.1,5.5,.571,3.1,5.5,.571,0.0,0.0,,1.0,2.2,.443,2.8,3.5,6.3,0.6,0.7,2.0,1.1,1.6,7.2,,5.66,Steven Adams
Gonzaga,,,101,31,17.2,3.3,5.6,.594,3.1,4.9,.634,0.2,0.7,.333,2.0,2.8,.709,1.5,3.1,4.6,1.1,0.5,0.5,1.4,2.0,8.9,,3.99,Kelly Olynyk
UCLA,,,32,30,30.8,6.3,14.3,.443,5.1,10.9,.463,1.3,3.3,.377,4.0,5.6,.711,2.7,2.5,5.2,0.8,0.7,0.1,1.6,1.7,17.9,,7.77,Shabazz Muhammad
Kansas,,,35,35,32.8,5.4,12.1,.448,4.2,8.5,.493,1.2,3.6,.341,5.0,6.5,.775,2.2,3.7,5.9,1.5,1.2,1.0,2.3,2.7,17.1,,11.40,Andrew Wiggins
Duke,,,35,35,30.7,6.7,14.3,.473,5.7,11.2,.504,1.1,3.0,.358,4.6,6.1,.748,3.0,5.7,8.7,1.2,1.1,1.2,2.3,2.4,19.1,,8.48,Jabari Parker
Kansas,,,28,20,23.1,3.8,6.1,.626,3.8,5.9,.639,0.0,0.2,.200,3.5,5.1,.685,2.3,5.8,8.1,1.4,0.9,2.6,2.4,3.4,11.2,,11.40,Joel Embiid
Arizona,,,38,38,31.2,5.0,10.1,.495,4.6,8.9,.513,0.4,1.2,.356,2.0,4.7,.422,2.7,5.3,8.0,2.0,0.9,1.0,1.4,2.4,12.4,,9.04,Aaron Gordon
Oklahoma State,,,64,63,33.1,4.9,11.9,.413,3.5,7.3,.488,1.4,4.6,.295,5.5,7.3,.751,1.5,4.4,5.9,4.5,2.9,0.6,3.0,2.9,16.6,,7.53,Marcus Smart
Kentucky,,,40,40,30.8,4.9,9.8,.501,4.8,9.3,.517,0.1,0.5,.167,5.1,7.2,.706,3.5,6.9,10.4,1.4,0.5,0.8,2.5,2.3,15.0,,9.90,Julius Randle
Michigan,,,75,69,32.9,4.3,9.2,.467,2.0,4.0,.500,2.3,5.2,.441,3.2,3.9,.832,0.5,2.5,2.9,2.3,0.6,0.3,1.5,1.0,14.1,,9.85,Nik Stauskas
Indiana,,,30,29,26.5,3.8,7.2,.523,3.2,6.1,.530,0.5,1.1,.485,3.2,4.5,.716,2.4,6.6,9.0,0.6,0.9,1.4,2.1,2.7,11.3,,6.64,Noah Vonleh
Louisiana,,,100,78,31.6,5.0,10.3,.485,4.7,9.2,.512,0.3,1.1,.268,3.9,6.5,.611,1.5,3.6,5.1,4.9,2.0,0.5,3.4,2.3,14.3,,-1.59,Elfrid Payton
Creighton,,,145,145,31.5,7.9,14.3,.550,6.0,10.2,.587,1.9,4.1,.458,4.1,4.9,.831,1.9,5.6,7.5,1.3,0.2,0.1,2.2,1.8,21.7,,4.29,Doug McDermott
UCLA,,,37,1,24.4,3.4,7.8,.441,2.1,4.3,.494,1.3,3.5,.375,1.3,1.8,.691,0.5,2.1,2.5,1.8,0.9,0.2,1.1,2.0,9.4,,7.62,Zach LaVine
NC State,,,70,49,31.2,7.5,13.6,.555,6.9,11.5,.598,0.6,2.0,.315,2.8,4.3,.654,2.7,3.0,5.7,1.0,1.5,0.5,1.7,2.5,18.5,,7.32,T.J. Warren
Kentucky,,,39,39,21.1,3.7,6.6,.566,3.7,6.4,.577,0.1,0.2,.250,2.8,3.4,.813,2.4,4.3,6.7,1.1,0.5,2.3,1.4,2.9,10.3,,8.67,Karl-Anthony Towns
Ohio State,,,35,34,33.9,6.6,14.7,.449,3.9,8.1,.479,2.7,6.6,.411,3.4,4.5,.756,1.0,4.7,5.7,5.0,1.6,0.3,2.9,2.1,19.3,,7.37,D'Angelo Russell
Duke,,,38,38,30.1,7.3,11.1,.664,7.3,11.1,.664,0.0,0.0,,2.6,5.1,.510,3.5,4.9,8.5,1.3,0.8,1.4,2.5,2.1,17.3,,9.87,Jahlil Okafor
Kentucky,,,105,70,24.5,3.3,5.6,.593,3.3,5.6,.593,0.0,0.0,,1.4,2.8,.508,2.4,3.9,6.2,0.9,1.1,2.2,1.2,2.3,8.0,,8.13,Willie Cauley-Stein
Arizona,,,38,37,28.4,4.6,10.3,.446,3.4,7.2,.478,1.1,3.1,.371,3.5,4.7,.742,2.0,4.5,6.5,1.7,1.5,0.4,2.2,2.6,13.8,,7.41,Stanley Johnson
Wisconsin,,,144,79,20.4,3.7,7.0,.522,3.0,5.1,.580,0.7,1.9,.369,2.1,2.7,.763,1.3,3.4,4.6,1.3,0.5,1.1,0.8,1.6,10.1,,9.61,Frank Kaminsky
