pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp,year,skip
39,NYK,Landry Fields,Stanford,5,255,6010,1731,1092,419,.473,.332,.666,23.6,6.8,4.3,1.6,10.5,.084,-0.3,2.6,2010,
40,IND,Lance Stephenson,Cincinnati,10,554,12680,4738,2251,1621,.445,.314,.694,22.9,8.6,4.1,2.9,17.5,.066,-1.3,2.3,2010,
41,MIA,Jarvis Varnado,Mississippi State,2,37,397,107,72,16,.582,,.518,10.7,2.9,1.9,0.4,0.7,.089,-3.3,-0.1,2010,
42,MIA,Da'Sean Butler,West Virginia,,,,,,,,,,,,,,,,,,2010,
43,LAL,Devin Ebanks,West Virginia,3,63,711,224,122,24,.385,.222,.722,11.3,3.6,1.9,0.4,0.5,.035,-4.8,-0.5,2010,
44,MIL,Jerome Jordan,Tulsa,2,65,491,180,132,17,.528,,.852,7.6,2.8,2.0,0.3,1.7,.168,-1.0,0.1,2010,
45,MIN,Paulão Prestes,,,,,,,,,,,,,,,,,,,2010,
46,PHO,Gani Lawal,Georgia Tech,1,1,2,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,-.009,-15.0,0.0,2010,
47,MIL,Tiny Gallon,Oklahoma,,,,,,,,,,,,,,,,,,2010,
48,MIA,Latavious Williams,,,,,,,,,,,,,,,,,,,2010,
49,SAS,Ryan Richards,,,,,,,,,,,,,,,,,,,2010,
50,DAL,Solomon Alabi,Florida State,2,26,181,39,61,5,.314,,.700,7.0,1.5,2.3,0.2,0.0,.010,-4.4,-0.1,2010,
51,OKC,Magnum Rolle,Louisiana Tech,,,,,,,,,,,,,,,,,,2010,
52,BOS,Luke Harangody,Notre Dame,2,70,871,253,196,36,.376,.241,.737,12.4,3.6,2.8,0.5,0.9,.048,-3.5,-0.3,2010,
53,ATL,Pape Sy,,1,3,21,7,3,2,.333,.000,1.000,7.0,2.3,1.0,0.7,0.0,-.047,-6.0,0.0,2010,
54,LAC,Willie Warren,Oklahoma,1,19,134,37,12,27,.371,.333,.750,7.1,1.9,0.6,1.4,0.2,.065,-2.7,0.0,2010,
55,UTA,Jeremy Evans,Western Kentucky,7,250,2626,879,641,107,.569,.231,.687,10.5,3.5,2.6,0.4,8.2,.150,0.9,1.9,2010,
56,MIN,Hamady N'Diaye,Rutgers University,3,33,157,20,25,3,.467,,.462,4.8,0.6,0.8,0.1,0.0,.013,-7.3,-0.2,2010,
57,IND,Ryan Reid,Florida State,1,5,17,8,2,0,.800,,,3.4,1.6,0.4,0.0,0.1,.142,-2.0,0.0,2010,
58,LAL,Derrick Caracter,Texas-El Paso,1,41,215,81,43,7,.485,,.739,5.2,2.0,1.0,0.2,0.3,.057,-7.1,-0.3,2010,
59,ORL,Stanley Robinson,UConn,,,,,,,,,,,,,,,,,,2010,
60,PHO,Dwayne Collins,Miami (FL),,,,,,,,,,,,,,,,,,2010,
1,CLE,Kyrie Irving,Duke,13,729,25075,17199,2933,4133,.474,.393,.886,34.4,23.6,4.0,5.7,86.4,.165,4.5,41.2,2011,
2,MIN,Derrick Williams,Arizona,7,428,8864,3809,1693,293,.434,.300,.710,20.7,8.9,4.0,0.7,14.1,.076,-1.6,0.8,2011,
3,UTA,Enes Freedom,,11,748,16101,8349,5822,638,.548,.289,.777,21.5,11.2,7.8,0.9,52.8,.157,-0.1,7.6,2011,
4,CLE,Tristan Thompson,Texas,12,779,20104,6753,6294,776,.521,.256,.597,25.8,8.7,8.1,1.0,48.9,.117,-1.7,1.5,2011,
5,TOR,Jonas Valančiūnas,,12,856,22034,11436,8096,1137,.561,.348,.789,25.7,13.4,9.5,1.3,80.3,.175,1.0,16.7,2011,
6,WAS,Jan Veselý,,3,162,2455,590,562,96,.521,.000,.408,15.2,3.6,3.5,0.6,4.0,.078,-2.6,-0.4,2011,
7,SAC,Bismack Biyombo,,13,839,16384,4251,4951,551,.535,.000,.553,19.5,5.1,5.9,0.7,32.4,.095,-2.5,-2.2,2011,
8,DET,Brandon Knight,Kentucky,9,451,13202,6301,1385,1777,.411,.352,.807,29.3,14.0,3.1,3.9,11.6,.042,-1.6,1.4,2011,
9,CHA,Kemba Walker,UConn,12,750,24810,14486,2831,3938,.418,.360,.840,33.1,19.3,3.8,5.3,59.8,.116,2.8,29.8,2011,
10,MIL,Jimmer Fredette,BYU,6,241,3213,1438,243,331,.409,.372,.879,13.3,6.0,1.0,1.4,2.2,.033,-2.5,-0.4,2011,
11,GSW,Klay Thompson,Washington State,11,793,25844,15531,2795,1843,.453,.413,.858,32.6,19.6,3.5,2.3,55.2,.103,0.6,16.8,2011,
12,UTA,Alec Burks,Colorado,13,742,16713,7990,2518,1466,.415,.383,.806,22.5,10.8,3.4,2.0,30.0,.086,-0.6,6.1,2011,
13,PHO,Markieff Morris,Kansas,13,776,18295,8020,3824,1200,.445,.343,.778,23.6,10.3,4.9,1.5,27.4,.072,-1.4,2.6,2011,
14,HOU,Marcus Morris,Kansas,13,832,22093,9965,3690,1235,.435,.377,.774,26.6,12.0,4.4,1.5,39.4,.086,-0.8,6.7,2011,
15,IND,Kawhi Leonard,San Diego State,12,696,22103,13937,4443,2120,.499,.391,.862,31.8,20.0,6.4,3.0,99.3,.216,6.7,48.4,2011,
16,PHI,Nikola Vučević,USC,13,899,28225,15370,9435,2556,.495,.341,.768,31.4,17.1,10.5,2.8,72.6,.124,2.1,28.9,2011,
17,NYK,Iman Shumpert,Georgia Tech,10,461,11470,3320,1534,845,.391,.337,.764,24.9,7.2,3.3,1.8,12.9,.054,-1.7,0.9,2011,
18,WAS,Chris Singleton,Florida State,3,148,2605,612,472,92,.376,.319,.633,17.6,4.1,3.2,0.6,2.3,.042,-3.2,-0.8,2011,
19,CHA,Tobias Harris,Tennessee,13,897,28422,14602,5537,2131,.478,.368,.835,31.7,16.3,6.2,2.4,70.2,.119,1.0,21.6,2011,
20,MIN,Donatas Motiejūnas,,6,251,4566,1832,952,269,.469,.300,.597,18.2,7.3,3.8,1.1,7.1,.075,-2.5,-0.5,2011,
21,POR,Nolan Smith,Duke,2,84,829,277,83,97,.371,.260,.714,9.9,3.3,1.0,1.2,-0.8,-.047,-6.0,-0.8,2011,
22,DEN,Kenneth Faried,Morehead State University,8,478,11728,5430,3884,470,.546,.222,.654,24.5,11.4,8.1,1.0,38.8,.159,0.5,7.5,2011,
23,HOU,Nikola Mirotić,,5,319,7718,3910,1894,407,.423,.359,.808,24.2,12.3,5.9,1.3,20.8,.129,1.6,7.1,2011,
24,OKC,Reggie Jackson,Boston College,13,853,21475,10709,2421,3561,.424,.345,.854,25.2,12.6,2.8,4.2,36.2,.081,-0.6,7.7,2011,
25,BOS,MarShon Brooks,Providence,5,200,3456,1592,424,282,.447,.345,.751,17.3,8.0,2.1,1.4,3.3,.046,-1.6,0.4,2011,
26,DAL,Jordan Hamilton,Texas,5,151,2100,890,429,127,.408,.357,.670,13.9,5.9,2.8,0.8,3.0,.069,-0.1,1.0,2011,
27,NJN,JaJuan Johnson,Purdue,1,36,298,114,58,6,.446,,.667,8.3,3.2,1.6,0.2,0.2,.032,-3.9,-0.1,2011,
28,CHI,Norris Cole,Cleveland State University,6,360,8018,2506,702,981,.407,.324,.743,22.3,7.0,2.0,2.7,3.0,.018,-4.1,-4.1,2011,
29,SAS,Cory Joseph,Texas,13,816,17684,5651,2020,2445,.441,.349,.786,21.7,6.9,2.5,3.0,30.7,.083,-1.1,3.8,2011,
30,CHI,Jimmy Butler,Marquette,13,814,27044,14934,4351,3474,.470,.329,.844,33.2,18.3,5.3,4.3,115.0,.204,5.0,47.5,2011,
31,MIA,Bojan Bogdanović,,10,719,20890,11184,2559,1194,.460,.394,.859,29.1,15.6,3.6,1.7,37.6,.086,-0.9,5.8,2011,
32,CLE,Justin Harper,Richmond,3,22,150,45,18,4,.340,.276,.333,6.8,2.0,0.8,0.2,-0.3,-.093,-8.7,-0.2,2011,
33,DET,Kyle Singler,Duke,6,356,7794,2326,1026,272,.418,.362,.786,21.9,6.5,2.9,0.8,10.0,.062,-2.5,-0.9,2011,
34,WAS,Shelvin Mack,Butler,8,456,8392,2997,894,1421,.423,.330,.731,18.4,6.6,2.0,3.1,10.3,.059,-1.9,0.1,2011,
35,SAC,Tyler Honeycutt,UCLA,2,24,120,28,24,9,.314,.200,.714,5.0,1.2,1.0,0.4,-0.1,-.049,-5.1,-0.1,2011,
36,NJN,Jordan Williams,Maryland,1,43,635,197,156,11,.507,,.652,14.8,4.6,3.6,0.3,1.3,.101,-2.1,0.0,2011,
37,LAC,Trey Thompkins,Georgia,1,24,119,57,24,3,.393,.308,.714,5.0,2.4,1.0,0.1,0.0,.004,-5.7,-0.1,2011,
38,HOU,Chandler Parsons,Florida,9,440,13246,5571,1972,1201,.462,.373,.713,30.1,12.7,4.5,2.7,28.9,.105,1.1,10.2,2011,
39,CHA,Jeremy Tyler,,3,104,1034,373,269,25,.450,.000,.557,9.9,3.6,2.6,0.2,0.3,.014,-7.0,-1.3,2011,
40,MIL,Jon Leuer,Wisconsin,8,377,5945,2395,1426,301,.484,.328,.767,15.8,6.4,3.8,0.8,13.2,.107,-0.7,2.0,2011,
41,LAL,Darius Morris,Michigan,4,132,1464,430,126,189,.384,.322,.630,11.1,3.3,1.0,1.4,-0.3,-.010,-5.1,-1.2,2011,
42,IND,Dāvis Bertāns,,8,475,8545,3661,1159,448,.422,.396,.863,18.0,7.7,2.4,0.9,18.6,.105,0.2,4.7,2011,
43,CHI,Malcolm Lee,UCLA,3,36,534,140,65,51,.382,.294,.703,14.8,3.9,1.8,1.4,0.4,.040,-2.5,-0.1,2011,
44,GSW,Charles Jenkins,Hofstra,2,110,1334,408,100,214,.434,.182,.754,12.1,3.7,0.9,1.9,0.5,.017,-4.5,-0.8,2011,
45,NOH,Josh Harrellson,Kentucky,3,75,888,265,227,26,.438,.347,.629,11.8,3.5,3.0,0.3,2.1,.116,-0.4,0.4,2011,
46,LAL,Andrew Goudelock,College of Charleston,3,49,475,197,34,24,.393,.345,.875,9.7,4.0,0.7,0.5,0.0,.003,-5.0,-0.3,2011,
47,LAC,Travis Leslie,Georgia,1,10,45,14,9,5,.357,,.444,4.5,1.4,0.9,0.5,0.1,.060,-0.3,0.0,2011,
48,ATL,Keith Benson,Oakland,1,3,9,0,3,0,.000,,,3.0,0.0,1.0,0.0,0.0,-.005,-7.7,0.0,2011,
49,MEM,Josh Selby,Kansas,2,38,296,83,20,34,.330,.143,.720,7.8,2.2,0.5,0.9,-0.7,-.113,-9.5,-0.6,2011,
50,PHI,Lavoy Allen,Temple,6,388,6905,1847,1843,384,.471,.133,.682,17.8,4.8,4.8,1.0,13.8,.096,-2.1,-0.1,2011,
51,POR,Jon Diebler,Ohio State,,,,,,,,,,,,,,,,,,2011,
52,DET,Vernon Macklin,Florida,1,23,135,46,34,5,.543,,.571,5.9,2.0,1.5,0.2,0.5,.161,1.2,0.1,2011,
53,ORL,DeAndre Liggins,Kentucky,5,177,1907,346,252,122,.402,.352,.549,10.8,2.0,1.4,0.7,1.6,.040,-2.2,-0.1,2011,
54,CLE,Milan Mačvan,,,,,,,,,,,,,,,,,,,2011,
55,BOS,E'Twaun Moore,Purdue,10,598,12564,4743,1208,1055,.455,.388,.742,21.0,7.9,2.0,1.8,14.8,.057,-1.9,0.2,2011,
56,LAL,Chukwudiebere Maduabum,,,,,,,,,,,,,,,,,,,2011,
57,DAL,Tanguy Ngombo,,,,,,,,,,,,,,,,,,,2011,
58,LAL,Ater Majok,,,,,,,,,,,,,,,,,,,2011,
59,SAS,Ádám Hanga,,,,,,,,,,,,,,,,,,,2011,
60,SAC,Isaiah Thomas,Washington,12,556,15582,9723,1321,2641,.434,.363,.872,28.0,17.5,2.4,4.8,45.3,.140,2.1,16.1,2011,
1,NOH,Anthony Davis,Kentucky,12,736,25409,17717,7826,1828,.523,.297,.795,34.5,24.1,10.6,2.5,112.1,.212,6.0,50.9,2012,
2,CHA,Michael Kidd-Gilchrist,Kentucky,8,446,10978,3750,2420,515,.474,.272,.715,24.6,8.4,5.4,1.2,21.0,.092,-1.8,0.6,2012,
3,WAS,Bradley Beal,Florida,12,748,25858,16355,3069,3237,.463,.375,.822,34.6,21.9,4.1,4.3,56.1,.104,1.6,23.6,2012,
4,CLE,Dion Waiters,Syracuse,8,419,11835,5505,1108,1163,.412,.346,.694,28.2,13.1,2.6,2.8,8.8,.036,-2.1,-0.4,2012,
5,SAC,Thomas Robinson,Kansas,5,313,4204,1528,1507,190,.470,.000,.505,13.4,4.9,4.8,0.6,4.6,.053,-3.5,-1.6,2012,
6,POR,Damian Lillard,Weber State,12,842,30521,21151,3573,5659,.438,.371,.897,36.2,25.1,4.2,6.7,110.8,.174,4.7,51.3,2012,
7,GSW,Harrison Barnes,UNC,12,911,28799,12796,4432,1603,.457,.379,.810,31.6,14.0,4.9,1.8,56.0,.093,-0.9,7.9,2012,
8,TOR,Terrence Ross,Washington,11,733,17956,8047,2061,936,.418,.362,.837,24.5,11.0,2.8,1.3,25.0,.067,-1.0,4.5,2012,
9,DET,Andre Drummond,UConn,12,864,23469,11000,10671,1073,.543,.125,.482,27.2,12.7,12.4,1.2,75.4,.154,1.2,18.7,2012,
10,NOH,Austin Rivers,Duke,11,707,16858,5996,1442,1513,.419,.349,.653,23.8,8.5,2.0,2.1,15.2,.043,-3.1,-4.5,2012,
11,POR,Meyers Leonard,Illinois,10,456,7272,2545,1771,396,.482,.390,.812,15.9,5.6,3.9,0.9,15.8,.104,-1.5,1.0,2012,
12,HOU,Jeremy Lamb,UConn,10,573,11896,5805,2073,904,.439,.342,.857,20.8,10.1,3.6,1.6,26.8,.108,0.6,7.9,2012,
13,PHO,Kendall Marshall,UNC,4,160,3083,802,253,779,.399,.370,.611,19.3,5.0,1.6,4.9,1.0,.015,-3.5,-1.1,2012,
14,MIL,John Henson,UNC,8,445,8752,3383,2368,496,.540,.250,.568,19.7,7.6,5.3,1.1,20.7,.113,-0.5,3.4,2012,
15,PHI,Maurice Harkless,St. John's,10,621,14019,4259,2198,572,.474,.320,.624,22.6,6.9,3.5,0.9,23.0,.079,-0.8,4.1,2012,
16,HOU,Royce White,Iowa State,1,3,9,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-.121,-16.9,0.0,2012,
17,DAL,Tyler Zeller,UNC,8,414,7254,2873,1820,367,.508,.286,.764,17.5,6.9,4.4,0.9,17.1,.113,-2.0,0.0,2012,
18,HOU,Terrence Jones,Kentucky,6,234,5562,2431,1334,238,.501,.297,.621,23.8,10.4,5.7,1.0,14.7,.127,0.5,3.6,2012,
19,ORL,Andrew Nicholson,St. Bonaventure,5,285,4080,1700,857,126,.467,.321,.773,14.3,6.0,3.0,0.4,3.8,.045,-3.6,-1.6,2012,
20,DEN,Evan Fournier,,12,704,19514,9607,1878,1759,.441,.374,.799,27.7,13.6,2.7,2.5,30.5,.075,-1.1,4.3,2012,
21,BOS,Jared Sullinger,Ohio State,5,269,6532,2893,2006,477,.436,.272,.723,24.3,10.8,7.5,1.8,15.3,.113,-0.4,2.7,2012,
22,BOS,Fab Melo,Syracuse,1,6,36,7,3,0,.500,,.250,6.0,1.2,0.5,0.0,0.0,.021,-7.6,-0.1,2012,
23,ATL,John Jenkins,Vanderbilt,6,171,2183,855,250,138,.441,.367,.847,12.8,5.0,1.5,0.8,3.0,.065,-1.9,0.1,2012,
24,CLE,Jared Cunningham,Oregon State,4,84,605,197,56,39,.347,.306,.674,7.2,2.3,0.7,0.5,0.2,.017,-5.7,-0.6,2012,
25,MEM,Tony Wroten,Washington,4,145,3076,1604,363,437,.413,.231,.647,21.2,11.1,2.5,3.0,-1.3,-.021,-3.4,-1.1,2012,
26,IND,Miles Plumlee,Duke,7,346,5658,1697,1562,178,.542,,.543,16.4,4.9,4.5,0.5,10.6,.090,-1.9,0.2,2012,
27,MIA,Arnett Moultrie,Mississippi State,2,59,729,210,180,12,.547,,.667,12.4,3.6,3.1,0.2,1.7,.113,-2.8,-0.1,2012,
28,OKC,Perry Jones,Baylor,3,143,1675,488,252,54,.420,.293,.660,11.7,3.4,1.8,0.4,1.7,.048,-3.5,-0.6,2012,
29,CHI,Marquis Teague,Kentucky,3,91,909,217,90,134,.343,.222,.661,10.0,2.4,1.0,1.5,-0.9,-.045,-6.5,-1.0,2012,
30,GSW,Festus Ezeli,Vanderbilt,3,170,2394,712,725,63,.513,,.557,14.1,4.2,4.3,0.4,5.9,.119,-2.0,0.0,2012,
31,CHA,Jeff Taylor,Vanderbilt,3,132,2566,807,263,107,.409,.319,.665,19.4,6.1,2.0,0.8,1.3,.024,-4.2,-1.5,2012,
32,WAS,Tomáš Satoranský,,6,388,8617,2676,1117,1586,.468,.354,.820,22.2,6.9,2.9,4.1,17.9,.100,-0.9,2.4,2012,
33,CLE,Bernard James,Florida State,3,92,761,203,212,13,.497,.000,.680,8.3,2.2,2.3,0.1,1.9,.117,-1.8,0.0,2012,
34,CLE,Jae Crowder,Marquette,12,803,20058,7492,3371,1275,.419,.348,.777,25.0,9.3,4.2,1.6,42.9,.103,0.2,11.0,2012,
35,GSW,Draymond Green,Michigan State,12,813,23299,7052,5674,4565,.452,.319,.713,28.7,8.7,7.0,5.6,61.0,.126,2.5,26.4,2012,
36,SAC,Orlando Johnson,UC Santa Barbara,3,103,1112,329,180,69,.358,.311,.727,10.8,3.2,1.7,0.7,1.4,.059,-2.4,-0.1,2012,
37,TOR,Quincy Acy,Baylor,7,337,5392,1642,1179,217,.444,.350,.759,16.0,4.9,3.5,0.6,8.7,.078,-2.0,-0.1,2012,
38,DEN,Quincy Miller,Baylor,3,69,934,295,169,37,.350,.292,.706,13.5,4.3,2.4,0.5,-0.1,-.003,-3.9,-0.5,2012,
39,DET,Khris Middleton,Texas A&M,12,739,22980,12461,3563,2916,.460,.388,.879,31.1,16.9,4.8,3.9,55.9,.117,0.8,16.0,2012,
40,POR,Will Barton,Memphis,11,679,17116,7625,2792,1817,.430,.355,.787,25.2,11.2,4.1,2.7,26.5,.074,-0.4,6.9,2012,
41,POR,Tyshawn Taylor,Kansas,2,61,491,174,33,57,.354,.360,.684,8.0,2.9,0.5,0.9,-0.9,-.088,-8.1,-0.8,2012,
42,MIL,Doron Lamb,Kentucky,2,100,1272,345,95,75,.381,.394,.700,12.7,3.5,1.0,0.8,0.1,.005,-5.8,-1.2,2012,
43,ATL,Mike Scott,Virginia,9,555,9182,3736,1727,499,.453,.362,.757,16.5,6.7,3.1,0.9,16.8,.088,-1.7,0.6,2012,
44,DET,Kim English,Missouri,1,41,407,119,37,26,.375,.280,.724,9.9,2.9,0.9,0.6,0.2,.021,-4.2,-0.2,2012,
45,PHI,Justin Hamilton,LSU,3,113,1961,687,403,91,.464,.309,.798,17.4,6.1,3.6,0.8,3.7,.091,-0.9,0.5,2012,
46,NOH,Darius Miller,Kentucky,6,271,5358,1597,447,367,.419,.383,.840,19.8,5.9,1.6,1.4,6.5,.059,-2.3,-0.4,2012,
47,UTA,Kevin Murphy,Tennessee Technological University,1,17,52,15,4,2,.250,.200,,3.1,0.9,0.2,0.1,-0.3,-.272,-16.8,-0.2,2012,
48,NYK,Kostas Papanikolaou,,2,69,1089,249,158,101,.354,.297,.688,15.8,3.6,2.3,1.5,0.3,.015,-2.7,-0.2,2012,
49,ORL,Kyle O'Quinn,Norfolk State,8,472,6714,2568,2166,643,.517,.218,.740,14.2,5.4,4.6,1.4,17.8,.128,0.9,5.0,2012,
50,DEN,İzzet Türkyılmaz,,,,,,,,,,,,,,,,,,,2012,
51,BOS,Kris Joseph,Syracuse,1,10,54,9,7,1,.143,.000,.625,5.4,0.9,0.7,0.1,-0.1,-.127,-9.9,-0.1,2012,
52,GSW,Ognjen Kuzmić,,2,37,164,35,38,8,.520,,.600,4.4,0.9,1.0,0.2,0.2,.061,-5.6,-0.2,2012,
53,LAC,Furkan Aldemir,,1,41,540,93,176,28,.513,.000,.481,13.2,2.3,4.3,0.7,1.4,.122,-3.6,-0.2,2012,
54,PHI,Tornike Shengelia,,2,45,247,59,39,17,.451,.125,.500,5.5,1.3,0.9,0.4,-0.2,-.032,-7.0,-0.3,2012,
55,DAL,Darius Johnson-Odom,Marquette,2,7,21,0,6,2,.000,.000,.000,3.0,0.0,0.9,0.3,-0.3,-.597,-25.5,-0.1,2012,
56,TOR,Tomislav Zubčić,,,,,,,,,,,,,,,,,,,2012,
57,NJN,İlkan Karaman,,,,,,,,,,,,,,,,,,,2012,
58,MIN,Robbie Hummel,Purdue,2,98,1397,379,266,50,.418,.343,.867,14.3,3.9,2.7,0.5,1.9,.066,-3.1,-0.4,2012,
59,SAS,Marcus Denmon,Missouri,,,,,,,,,,,,,,,,,,2012,
60,LAL,Robert Sacre,Gonzaga,4,189,2745,787,593,126,.436,.000,.671,14.5,4.2,3.1,0.7,2.4,.042,-4.0,-1.4,2012,
1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,.392,.261,.670,12.6,4.4,3.1,0.5,0.5,.013,-4.8,-1.3,2013,
2,ORL,Victor Oladipo,Indiana,10,504,16247,8503,2245,1970,.436,.347,.788,32.2,16.9,4.5,3.9,25.6,.076,0.7,11.0,2013,
3,WAS,Otto Porter Jr.,Georgetown,11,527,13400,5419,2599,783,.477,.397,.797,25.4,10.3,4.9,1.5,36.7,.132,1.7,12.5,2013,
4,CHA,Cody Zeller,Indiana,11,552,11510,4376,3125,740,.520,.220,.727,20.9,7.9,5.7,1.3,33.5,.140,-0.7,3.9,2013,
5,PHO,Alex Len,Maryland,11,644,11374,4534,3529,551,.510,.324,.681,17.7,7.0,5.5,0.9,23.2,.098,-1.9,0.4,2013,
6,NOH,Nerlens Noel,Kentucky,9,467,10281,3338,2835,501,.546,.200,.655,22.0,7.1,6.1,1.1,28.3,.132,0.9,7.4,2013,
7,SAC,Ben McLemore,Kansas,9,556,12534,5015,1269,563,.414,.363,.780,22.5,9.0,2.3,1.0,9.0,.035,-3.1,-3.4,2013,
8,DET,Kentavious Caldwell-Pope,Georgia,11,835,24757,9499,2539,1516,.427,.369,.819,29.6,11.4,3.0,1.8,43.9,.085,-0.9,7.0,2013,
9,MIN,Trey Burke,Michigan,9,498,10401,4792,878,1522,.410,.345,.810,20.9,9.6,1.8,3.1,12.9,.060,-1.3,1.7,2013,
10,POR,CJ McCollum,Lehigh,11,731,23432,14231,2655,2778,.454,.399,.806,32.1,19.5,3.6,3.8,50.5,.103,1.4,20.3,2013,
11,PHI,Michael Carter-Williams,Syracuse,9,395,9942,4040,1718,1708,.402,.256,.705,25.2,10.2,4.3,4.3,6.6,.032,-1.2,1.8,2013,
12,OKC,Steven Adams,Pitt,10,706,18944,6518,5788,1079,.587,.067,.536,26.8,9.2,8.2,1.5,59.3,.150,0.5,12.1,2013,
13,DAL,Kelly Olynyk,Gonzaga,11,756,17109,7755,3918,1847,.485,.369,.798,22.6,10.3,5.2,2.4,44.4,.125,0.9,12.6,2013,
14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,.473,.319,.751,17.2,9.0,2.8,0.5,8.5,.085,-2.0,0.0,2013,
15,MIL,Giannis Antetokounmpo,,11,792,25945,18502,7732,3855,.545,.286,.702,32.8,23.4,9.8,4.9,109.3,.202,6.5,55.8,2013,
16,BOS,Lucas Nogueira,,4,141,1754,446,388,72,.632,.265,.640,12.4,3.2,2.8,0.5,6.0,.165,2.3,1.9,2013,
17,ATL,Dennis Schröder,,11,767,20919,10758,2236,3693,.434,.342,.836,27.3,14.0,2.9,4.8,29.5,.068,-1.4,3.1,2013,
