,Unnamed: 0_x,player,dunk_tot,dunk_pct,rim_tot,rim_pct,rim_asted,other2pt_tot,other2pt_pct,other2pt_asted,3pt_tot,3pt_pct,3pt_asted,Unnamed: 0_y,school_name,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
0,0,Donovan Clingan,48-52,92.3%,157-224,70.1%,73.2%,27-59,45.8%,55.6%,2-8,25.0%,100.0%,0,UConn,74,33,17.6,4.0,6.2,0.645,4.0,6.1,0.653,0.0,0.1,0.222,1.7,3.1,0.558,2.3,4.1,6.4,1.0,0.5,2.1,0.9,1.9,9.8
1,1,Reed Sheppard,5-6,83.3%,39-60,65.0%,7.7%,27-59,45.8%,11.1%,75-144,52.1%,77.3%,1,Kentucky,33,5,28.9,4.3,8.0,0.536,2.0,3.6,0.555,2.3,4.4,0.521,1.6,2.0,0.831,0.4,3.8,4.1,4.5,2.5,0.7,2.0,1.9,12.5
2,2,Stephon Castle,23-26,88.5%,94-149,63.1%,47.9%,23-66,34.8%,17.4%,20-75,26.7%,85.0%,2,UConn,34,30,27.0,4.0,8.5,0.472,3.4,6.3,0.544,0.6,2.2,0.267,2.4,3.2,0.755,1.7,3.0,4.7,2.9,0.8,0.5,1.5,2.4,11.1
3,3,Rob Dillingham,4-4,100.0%,63-114,55.3%,30.2%,45-104,43.3%,22.2%,64-144,44.4%,76.6%,3,Kentucky,32,1,23.3,5.4,11.3,0.475,3.4,6.8,0.495,2.0,4.5,0.444,2.4,3.1,0.796,0.3,2.7,2.9,3.9,1.0,0.1,2.0,2.6,15.2
4,4,Dalton Knecht,29-34,85.3%,122-207,58.9%,43.4%,49-136,36.0%,44.9%,93-234,39.7%,84.9%,4,Tennessee,36,36,30.6,7.3,16.0,0.458,4.8,9.5,0.499,2.6,6.5,0.397,4.4,5.7,0.772,0.8,4.1,4.9,1.8,0.7,0.6,1.7,1.8,21.7
5,5,Cody Williams,15-20,75.0%,67-91,73.6%,43.3%,23-62,37.1%,21.7%,17-41,41.5%,88.2%,5,Colorado,24,18,28.4,4.5,8.1,0.552,3.8,6.4,0.588,0.7,1.7,0.415,2.3,3.2,0.714,0.7,2.3,3.0,1.6,0.6,0.7,2.0,2.0,11.9
6,6,Devin Carter,26-26,100.0%,118-181,65.2%,26.3%,17-59,28.8%,0.0%,84-223,37.7%,72.6%,6,Providence,66,66,33.7,5.5,12.0,0.454,3.7,6.9,0.532,1.8,5.2,0.35,3.7,5.0,0.735,1.1,5.7,6.8,3.0,1.8,1.0,2.2,2.0,16.4
7,7,Ja'Kobe Walter,4-5,80.0%,33-61,54.1%,21.2%,34-99,34.3%,32.4%,74-214,34.6%,89.2%,7,Baylor,35,35,32.3,4.1,10.9,0.376,2.0,4.7,0.423,2.1,6.3,0.341,4.1,5.2,0.792,1.3,3.1,4.4,1.4,1.1,0.2,1.3,2.1,14.5
8,8,Jared McCain,2-2,100.0%,53-89,59.6%,22.6%,35-80,43.8%,28.6%,87-210,41.4%,82.8%,8,Duke,36,36,31.6,4.9,10.5,0.462,2.4,4.7,0.521,2.4,5.8,0.414,2.1,2.4,0.885,0.8,4.2,5.0,1.9,1.1,0.1,1.3,1.6,14.3
9,9,Zach Edey,113-120,94.2%,218-274,79.6%,71.6%,117-264,44.3%,77.8%,1-2,50.0%,100.0%,9,Purdue,138,108,24.9,6.7,10.8,0.621,6.7,10.8,0.621,0.0,0.0,0.5,4.8,6.8,0.706,3.9,5.7,9.6,1.3,0.2,1.7,1.9,2.0,18.2
10,10,Tristan Da Silva,16-16,100.0%,78-127,61.4%,56.4%,55-111,49.5%,47.3%,64-162,39.5%,93.8%,10,Colorado,124,98,26.9,4.3,8.8,0.493,3.1,5.7,0.553,1.2,3.1,0.386,1.8,2.3,0.786,1.0,2.9,3.8,1.6,0.9,0.4,1.6,1.9,11.7
11,11,Johnny Furphy,11-12,91.7%,44-55,80.0%,81.8%,6-24,25.0%,0.0%,44-122,36.1%,97.7%,11,Kansas,33,19,24.1,2.9,6.2,0.466,1.6,2.5,0.642,1.3,3.8,0.352,1.9,2.5,0.765,1.3,3.6,4.9,1.0,0.9,0.3,0.8,2.1,9.0
12,12,Kyshawn George,3-3,100.0%,23-38,60.5%,17.4%,5-22,22.7%,20.0%,53-130,40.8%,83.0%,12,Miami (FL),31,16,23.0,2.6,6.1,0.426,0.9,1.9,0.467,1.7,4.2,0.408,0.7,0.9,0.778,0.5,2.6,3.0,2.2,0.9,0.4,1.5,1.8,7.6
13,13,Kyle Filipowski,25-27,92.6%,144-226,63.7%,49.3%,37-97,38.1%,51.4%,39-112,34.8%,87.2%,13,Duke,72,72,29.8,5.7,12.0,0.473,4.7,8.7,0.533,1.0,3.3,0.314,3.4,4.7,0.718,2.4,6.3,8.6,2.2,1.2,1.1,2.3,2.8,15.8
14,14,Isaiah Collier,6-6,100.0%,95-154,61.7%,26.3%,32-80,40.0%,18.8%,27-80,33.8%,70.4%,14,USC,27,26,30.0,5.7,11.6,0.49,4.7,8.7,0.543,1.0,3.0,0.338,3.9,5.8,0.673,0.6,2.3,2.9,4.3,1.5,0.2,3.3,2.4,16.3
15,15,Carlton Carrington,2-2,100.0%,28-52,53.8%,14.3%,66-132,50.0%,10.6%,65-202,32.2%,44.6%,15,Pitt,33,33,33.2,4.8,11.7,0.412,2.8,5.6,0.511,2.0,6.1,0.322,2.2,2.8,0.785,0.5,4.7,5.2,4.1,0.6,0.2,1.9,2.4,13.8
16,16,Yves Missi,59-67,88.1%,116-165,70.3%,68.1%,20-57,35.1%,35.0%,0-0,0.0%,0%,16,Baylor,34,32,22.9,4.1,6.7,0.614,4.1,6.7,0.614,0.0,0.0,,2.5,4.1,0.616,2.6,3.0,5.6,0.4,0.6,1.5,1.1,2.4,10.7
17,17,Kel'el Ware,63-68,92.6%,117-158,74.1%,73.5%,54-122,44.3%,57.4%,17-40,42.5%,94.1%,17,Indiana,30,30,32.2,6.3,10.7,0.586,5.7,9.4,0.609,0.6,1.3,0.425,2.8,4.5,0.634,2.1,7.8,9.9,1.5,0.6,1.9,1.6,2.0,15.9
18,18,Baylor Scheierman,8-10,80.0%,67-106,63.2%,38.8%,42-94,44.7%,19.0%,110-289,38.1%,82.7%,18,Creighton,72,72,34.7,5.3,12.1,0.437,2.5,4.7,0.537,2.7,7.3,0.373,2.3,2.6,0.862,0.8,7.8,8.6,3.6,1.0,0.2,2.2,1.9,15.5
19,19,Justin Edwards,20-24,83.3%,50-78,64.1%,46.0%,25-55,45.5%,40.0%,31-85,36.5%,100.0%,19,Kentucky,32,30,21.4,3.3,6.8,0.486,2.3,4.2,0.564,1.0,2.7,0.365,1.2,1.5,0.776,1.2,2.2,3.4,0.9,0.9,0.2,0.8,2.2,8.8
20,20,Tyler Kolek,0-0,0%,98-168,58.3%,22.4%,29-62,46.8%,13.8%,47-121,38.8%,74.5%,20,Marquette,99,99,31.5,4.2,9.4,0.444,2.8,5.6,0.503,1.3,3.7,0.354,2.1,2.5,0.822,0.6,3.6,4.2,7.0,1.6,0.1,2.6,1.6,11.7
21,21,Kevin McCullar Jr.,9-10,90.0%,85-138,61.6%,58.8%,28-86,32.6%,28.6%,38-112,33.9%,94.7%,21,Kansas,60,59,32.2,4.7,10.5,0.45,3.6,6.9,0.519,1.1,3.6,0.316,3.5,4.4,0.786,1.0,5.6,6.6,3.1,1.8,0.6,2.3,2.5,14.0
22,22,Terrence Shannon Jr.,14-14,100.0%,57-84,67.9%,42.1%,33-100,33.0%,42.4%,30-84,35.7%,70.0%,22,Illinois,63,61,33.0,6.0,13.0,0.46,4.0,7.2,0.555,2.0,5.9,0.344,6.1,7.7,0.796,1.0,3.3,4.3,2.5,1.1,0.7,2.3,2.3,20.2
23,23,Ryan Dunn,36-38,94.7%,89-131,67.9%,67.4%,18-42,42.9%,55.6%,7-35,20.0%,100.0%,23,Virginia,65,34,20.6,2.3,4.2,0.544,2.1,3.4,0.616,0.2,0.8,0.235,0.8,1.5,0.525,1.5,3.6,5.0,0.5,0.9,1.7,0.6,1.7,5.5
24,24,Jaylon Tyson,24-24,100.0%,121-210,57.6%,29.8%,51-128,39.8%,9.8%,50-139,36.0%,50.0%,24,California,31,30,34.3,7.2,15.4,0.465,5.5,10.9,0.509,1.6,4.5,0.36,3.6,4.6,0.796,1.6,5.1,6.8,3.5,1.2,0.5,3.1,2.1,19.6
25,25,Cam Christie,6-6,100.0%,19-40,47.5%,36.8%,37-92,40.2%,64.9%,70-178,39.3%,77.1%,25,Minnesota,33,26,30.1,3.8,9.4,0.403,1.7,4.0,0.42,2.1,5.4,0.391,1.6,2.0,0.791,0.2,3.4,3.6,2.2,0.6,0.3,1.2,1.6,11.3
26,26,Alex Karaban,15-16,93.8%,95-129,73.6%,63.2%,15-43,34.9%,73.3%,81-214,37.9%,97.5%,26,UConn,78,77,30.2,4.1,8.4,0.487,2.2,3.6,0.619,1.9,4.8,0.389,1.2,1.4,0.852,1.5,3.3,4.8,1.6,0.7,0.8,1.0,2.1,11.3
27,27,Adem Bona,39-41,95.1%,98-129,76.0%,46.9%,30-88,34.1%,40.0%,0-1,0.0%,0%,27,UCLA,66,65,24.7,3.9,6.3,0.621,3.9,6.3,0.622,0.0,0.0,0.0,2.3,3.5,0.652,2.1,3.5,5.6,1.0,0.8,1.7,1.9,3.5,10.1
28,28,Jonathan Mogbo,86-94,91.5%,172-232,74.1%,59.9%,26-83,31.3%,30.8%,0-2,0.0%,0%,28,San Francisco,34,34,28.9,6.1,9.5,0.636,6.1,9.5,0.64,0.0,0.1,0.0,2.1,3.1,0.692,3.3,6.8,10.1,3.6,1.6,0.8,1.8,2.6,14.2
29,29,Harrison Ingram,8-9,88.9%,52-105,49.5%,26.9%,46-105,43.8%,17.4%,65-169,38.5%,92.3%,29,UNC,37,36,32.8,4.4,10.2,0.43,2.6,5.7,0.467,1.8,4.6,0.385,1.6,2.6,0.612,2.6,6.2,8.8,2.2,1.4,0.4,1.4,1.9,12.2
30,30,Ajay Mitchell,2-2,100.0%,91-153,59.5%,6.6%,61-138,44.2%,6.6%,30-80,37.5%,80.0%,30,UCSB,91,87,32.5,5.5,10.8,0.511,4.8,8.6,0.558,0.8,2.3,0.332,4.2,5.2,0.818,0.2,2.7,3.0,4.3,1.1,0.3,2.2,2.4,16.1
31,31,Pelle Larsson,11-12,91.7%,90-134,67.2%,56.7%,27-72,37.5%,29.6%,46-108,42.6%,95.7%,31,Arizona,108,56,26.0,3.3,6.6,0.494,2.2,3.9,0.568,1.0,2.6,0.385,2.4,3.0,0.799,0.9,3.0,3.9,2.8,0.8,0.2,1.7,2.5,9.9
32,32,Payton Sandfort,1-1,100.0%,41-66,62.1%,51.2%,45-90,50.0%,40.0%,94-248,37.9%,85.1%,32,Iowa,101,41,20.6,3.5,8.3,0.426,1.7,3.2,0.525,1.9,5.1,0.365,1.7,1.9,0.898,1.0,3.2,4.2,1.6,0.5,0.2,0.8,1.7,10.6
33,33,Dillon Jones,5-5,100.0%,121-197,61.4%,6.6%,53-129,41.1%,5.7%,32-101,31.7%,78.1%,33,Weber State,119,96,32.8,5.0,10.0,0.499,4.1,7.3,0.565,0.9,2.7,0.32,4.2,5.1,0.823,1.1,8.5,9.6,3.5,1.7,0.1,2.7,2.0,15.0
34,34,Keshad Johnson,49-53,92.5%,91-134,67.9%,62.6%,24-58,41.4%,58.3%,36-93,38.7%,97.2%,34,Arizona,36,36,27.6,4.2,7.9,0.53,3.2,5.3,0.599,1.0,2.6,0.387,2.1,3.0,0.71,2.0,3.9,5.9,1.8,1.0,0.7,1.6,2.1,11.5
35,35,KJ Simpson,11-14,78.6%,112-203,55.2%,33.0%,52-127,40.9%,26.9%,79-182,43.4%,73.4%,35,Colorado,98,66,29.6,4.9,11.4,0.429,3.5,7.5,0.471,1.4,3.9,0.347,3.4,4.1,0.834,0.6,3.7,4.3,3.9,1.3,0.1,2.3,2.0,14.6
36,36,DaRon Holmes II,89-91,97.8%,173-242,71.5%,73.4%,51-129,39.5%,54.9%,6-19,31.6%,66.7%,36,Dayton,102,102,32.5,6.2,10.5,0.588,5.8,9.4,0.614,0.4,1.1,0.358,4.4,6.5,0.671,2.0,5.5,7.5,1.9,0.7,2.1,1.9,1.9,17.1
37,37,Jamal Shead,3-4,75.0%,63-106,59.4%,9.5%,71-188,37.8%,7.0%,43-139,30.9%,60.5%,37,Houston,138,108,27.5,3.6,8.8,0.412,2.7,5.6,0.476,0.9,3.1,0.296,1.5,2.0,0.772,0.6,2.3,2.8,5.0,1.6,0.3,1.8,1.9,9.7
38,38,Bronny James,4-5,80.0%,16-27,59.3%,56.3%,9-25,36.0%,44.4%,16-60,26.7%,75.0%,38,USC,25,6,19.3,1.6,4.5,0.366,1.0,2.1,0.481,0.6,2.4,0.267,0.9,1.4,0.676,0.3,2.6,2.8,2.1,0.8,0.2,1.1,1.7,4.8
39,39,Hunter Sallis,16-19,84.2%,66-104,63.5%,31.8%,83-171,48.5%,7.2%,75-185,40.5%,77.3%,39,Wake Forest,34,34,35.4,6.6,13.5,0.487,4.4,8.1,0.542,2.2,5.4,0.405,2.6,3.4,0.783,0.6,3.4,4.1,2.5,1.1,0.6,1.9,1.8,18.0
40,40,Jalen Bridges,17-19,89.5%,53-78,67.9%,52.8%,16-52,30.8%,18.8%,73-175,41.7%,87.7%,40,Baylor,69,69,29.5,3.9,8.1,0.484,2.3,3.9,0.597,1.6,4.2,0.378,1.9,2.3,0.8,2.1,3.5,5.7,1.2,1.0,0.8,1.0,1.9,11.2
41,41,Oso Ighodaro,62-71,87.3%,113-178,63.5%,66.4%,83-160,51.9%,55.4%,0-2,0.0%,0%,41,Marquette,109,72,26.7,4.2,6.7,0.624,4.2,6.7,0.626,0.0,0.0,0.0,1.5,2.4,0.616,1.8,3.4,5.3,2.3,0.8,1.2,1.4,2.2,9.9
42,42,Isaac Jones,50-56,89.3%,142-212,67.0%,43.0%,56-120,46.7%,58.9%,1-14,7.1%,100.0%,42,Washington State,35,34,31.7,5.7,9.9,0.575,5.7,9.5,0.596,0.0,0.4,0.071,3.9,5.5,0.712,2.3,5.3,7.6,1.5,0.5,1.1,1.9,2.0,15.3
43,43,Jaylen Wells,4-4,100.0%,24-42,57.1%,29.2%,45-109,41.3%,22.2%,70-168,41.7%,88.6%,43,Washington State,34,20,29.2,4.1,9.4,0.436,2.0,4.4,0.457,2.1,4.9,0.417,2.3,2.9,0.814,1.2,3.4,4.6,1.2,0.5,0.2,0.7,1.9,12.6
44,44,Enrique Freeman,44-44,100.0%,169-251,67.3%,59.2%,34-76,44.7%,23.5%,19-52,36.5%,84.2%,44,Akron,132,122,27.8,5.3,8.5,0.628,5.2,8.1,0.644,0.2,0.5,0.35,3.1,4.6,0.67,3.1,7.6,10.6,1.3,0.6,1.4,1.9,2.5,14.0
45,45,Cam Spencer,0-0,0%,37-60,61.7%,45.9%,60-120,50.0%,23.3%,99-225,44.0%,82.8%,45,UConn,40,40,33.0,4.9,10.1,0.484,2.4,4.5,0.539,2.5,5.6,0.44,2.1,2.3,0.911,1.1,3.8,4.9,3.6,1.5,0.3,1.0,2.2,14.3
46,46,Antonio Reeves,9-11,81.8%,79-126,62.7%,45.6%,72-145,49.7%,38.9%,84-188,44.7%,86.9%,46,Kentucky,67,47,29.6,6.0,12.9,0.467,3.6,7.1,0.504,2.4,5.8,0.422,2.8,3.3,0.83,0.6,2.6,3.1,1.4,0.5,0.2,1.3,1.9,17.2
47,47,Jaxson Robinson,6-7,85.7%,47-64,73.4%,44.7%,36-92,39.1%,19.4%,81-229,35.4%,90.1%,47,BYU,66,36,27.3,4.0,9.8,0.41,1.9,3.7,0.512,2.2,6.2,0.349,1.2,1.4,0.844,0.4,2.3,2.7,1.6,0.8,0.5,1.5,1.7,11.4
48,48,Trevon Brazile,27-30,90.0%,44-58,75.9%,56.8%,11-36,30.6%,9.1%,24-68,35.3%,87.5%,48,Arkansas,35,23,26.1,3.3,6.8,0.485,2.3,4.1,0.57,1.0,2.8,0.361,1.8,2.6,0.689,1.5,4.4,5.9,0.6,0.7,1.2,1.7,2.4,9.4
49,49,Ugonna Onyenso,14-17,82.4%,29-42,69.0%,65.5%,4-17,23.5%,50.0%,0-1,0.0%,0%,49,Kentucky,40,14,14.0,1.3,2.4,0.543,1.3,2.3,0.548,0.0,0.0,0.0,0.6,1.0,0.585,1.5,2.4,3.9,0.2,0.3,2.1,0.5,1.1,3.2
