,player,dunk_tot,dunk_pct,rim_tot,rim_pct,rim_asted,other2pt_tot,other2pt_pct,other2pt_asted,3pt_tot,3pt_pct,3pt_asted
0,Donovan Clingan,48-52,92.3%,157-224,70.1%,73.2%,27-59,45.8%,55.6%,2-8,25.0%,100.0%
1,Reed Sheppard,5-6,83.3%,39-60,65.0%,7.7%,27-59,45.8%,11.1%,75-144,52.1%,77.3%
2,Stephon Castle,23-26,88.5%,94-149,63.1%,47.9%,23-66,34.8%,17.4%,20-75,26.7%,85.0%
3,Rob Dillingham,4-4,100.0%,63-114,55.3%,30.2%,45-104,43.3%,22.2%,64-144,44.4%,76.6%
4,Dalton Knecht,29-34,85.3%,122-207,58.9%,43.4%,49-136,36.0%,44.9%,93-234,39.7%,84.9%
5,Cody Williams,15-20,75.0%,67-91,73.6%,43.3%,23-62,37.1%,21.7%,17-41,41.5%,88.2%
6,Devin Carter,26-26,100.0%,118-181,65.2%,26.3%,17-59,28.8%,0.0%,84-223,37.7%,72.6%
7,Ja'Kobe Walter,4-5,80.0%,33-61,54.1%,21.2%,34-99,34.3%,32.4%,74-214,34.6%,89.2%
8,Jared McCain,2-2,100.0%,53-89,59.6%,22.6%,35-80,43.8%,28.6%,87-210,41.4%,82.8%
9,Zach Edey,113-120,94.2%,218-274,79.6%,71.6%,117-264,44.3%,77.8%,1-2,50.0%,100.0%
10,Tristan Da Silva,16-16,100.0%,78-127,61.4%,56.4%,55-111,49.5%,47.3%,64-162,39.5%,93.8%
11,Johnny Furphy,11-12,91.7%,44-55,80.0%,81.8%,6-24,25.0%,0.0%,44-122,36.1%,97.7%
12,Kyshawn George,3-3,100.0%,23-38,60.5%,17.4%,5-22,22.7%,20.0%,53-130,40.8%,83.0%
13,Kyle Filipowski,25-27,92.6%,144-226,63.7%,49.3%,37-97,38.1%,51.4%,39-112,34.8%,87.2%
14,Isaiah Collier,6-6,100.0%,95-154,61.7%,26.3%,32-80,40.0%,18.8%,27-80,33.8%,70.4%
15,Carlton Carrington,2-2,100.0%,28-52,53.8%,14.3%,66-132,50.0%,10.6%,65-202,32.2%,44.6%
16,Yves Missi,59-67,88.1%,116-165,70.3%,68.1%,20-57,35.1%,35.0%,0-0,0.0%,0%
17,Kel'el Ware,63-68,92.6%,117-158,74.1%,73.5%,54-122,44.3%,57.4%,17-40,42.5%,94.1%
18,Baylor Scheierman,8-10,80.0%,67-106,63.2%,38.8%,42-94,44.7%,19.0%,110-289,38.1%,82.7%
19,Justin Edwards,20-24,83.3%,50-78,64.1%,46.0%,25-55,45.5%,40.0%,31-85,36.5%,100.0%
20,Tyler Kolek,0-0,0%,98-168,58.3%,22.4%,29-62,46.8%,13.8%,47-121,38.8%,74.5%
21,Kevin McCullar Jr.,9-10,90.0%,85-138,61.6%,58.8%,28-86,32.6%,28.6%,38-112,33.9%,94.7%
22,Terrence Shannon Jr.,14-14,100.0%,57-84,67.9%,42.1%,33-100,33.0%,42.4%,30-84,35.7%,70.0%
23,Ryan Dunn,36-38,94.7%,89-131,67.9%,67.4%,18-42,42.9%,55.6%,7-35,20.0%,100.0%
24,Jaylon Tyson,24-24,100.0%,121-210,57.6%,29.8%,51-128,39.8%,9.8%,50-139,36.0%,50.0%
25,Cam Christie,6-6,100.0%,19-40,47.5%,36.8%,37-92,40.2%,64.9%,70-178,39.3%,77.1%
26,Alex Karaban,15-16,93.8%,95-129,73.6%,63.2%,15-43,34.9%,73.3%,81-214,37.9%,97.5%
27,Adem Bona,39-41,95.1%,98-129,76.0%,46.9%,30-88,34.1%,40.0%,0-1,0.0%,0%
28,Jonathan Mogbo,86-94,91.5%,172-232,74.1%,59.9%,26-83,31.3%,30.8%,0-2,0.0%,0%
29,Harrison Ingram,8-9,88.9%,52-105,49.5%,26.9%,46-105,43.8%,17.4%,65-169,38.5%,92.3%
30,Ajay Mitchell,2-2,100.0%,91-153,59.5%,6.6%,61-138,44.2%,6.6%,30-80,37.5%,80.0%
31,Pelle Larsson,11-12,91.7%,90-134,67.2%,56.7%,27-72,37.5%,29.6%,46-108,42.6%,95.7%
32,Payton Sandfort,1-1,100.0%,41-66,62.1%,51.2%,45-90,50.0%,40.0%,94-248,37.9%,85.1%
33,Dillon Jones,5-5,100.0%,121-197,61.4%,6.6%,53-129,41.1%,5.7%,32-101,31.7%,78.1%
34,Keshad Johnson,49-53,92.5%,91-134,67.9%,62.6%,24-58,41.4%,58.3%,36-93,38.7%,97.2%
35,KJ Simpson,11-14,78.6%,112-203,55.2%,33.0%,52-127,40.9%,26.9%,79-182,43.4%,73.4%
36,DaRon Holmes II,89-91,97.8%,173-242,71.5%,73.4%,51-129,39.5%,54.9%,6-19,31.6%,66.7%
37,Jamal Shead,3-4,75.0%,63-106,59.4%,9.5%,71-188,37.8%,7.0%,43-139,30.9%,60.5%
38,Bronny James,4-5,80.0%,16-27,59.3%,56.3%,9-25,36.0%,44.4%,16-60,26.7%,75.0%
39,Hunter Sallis,16-19,84.2%,66-104,63.5%,31.8%,83-171,48.5%,7.2%,75-185,40.5%,77.3%
40,Jalen Bridges,17-19,89.5%,53-78,67.9%,52.8%,16-52,30.8%,18.8%,73-175,41.7%,87.7%
41,Oso Ighodaro,62-71,87.3%,113-178,63.5%,66.4%,83-160,51.9%,55.4%,0-2,0.0%,0%
42,Isaac Jones,50-56,89.3%,142-212,67.0%,43.0%,56-120,46.7%,58.9%,1-14,7.1%,100.0%
43,Jaylen Wells,4-4,100.0%,24-42,57.1%,29.2%,45-109,41.3%,22.2%,70-168,41.7%,88.6%
44,Enrique Freeman,44-44,100.0%,169-251,67.3%,59.2%,34-76,44.7%,23.5%,19-52,36.5%,84.2%
45,Cam Spencer,0-0,0%,37-60,61.7%,45.9%,60-120,50.0%,23.3%,99-225,44.0%,82.8%
46,Antonio Reeves,9-11,81.8%,79-126,62.7%,45.6%,72-145,49.7%,38.9%,84-188,44.7%,86.9%
47,Jaxson Robinson,6-7,85.7%,47-64,73.4%,44.7%,36-92,39.1%,19.4%,81-229,35.4%,90.1%
48,Trevon Brazile,27-30,90.0%,44-58,75.9%,56.8%,11-36,30.6%,9.1%,24-68,35.3%,87.5%
49,Ugonna Onyenso,14-17,82.4%,29-42,69.0%,65.5%,4-17,23.5%,50.0%,0-1,0.0%,0%
