,school_name,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,player
0,UConn,74,33,17.6,4.0,6.2,.645,4.0,6.1,.653,0.0,0.1,.222,1.7,3.1,.558,2.3,4.1,6.4,1.0,0.5,2.1,0.9,1.9,9.8,Donovan Clingan
1,Kentucky,33,5,28.9,4.3,8.0,.536,2.0,3.6,.555,2.3,4.4,.521,1.6,2.0,.831,0.4,3.8,4.1,4.5,2.5,0.7,2.0,1.9,12.5,Reed Sheppard
2,UConn,34,30,27.0,4.0,8.5,.472,3.4,6.3,.544,0.6,2.2,.267,2.4,3.2,.755,1.7,3.0,4.7,2.9,0.8,0.5,1.5,2.4,11.1,Stephon Castle
3,Kentucky,32,1,23.3,5.4,11.3,.475,3.4,6.8,.495,2.0,4.5,.444,2.4,3.1,.796,0.3,2.7,2.9,3.9,1.0,0.1,2.0,2.6,15.2,Rob Dillingham
4,Tennessee,36,36,30.6,7.3,16.0,.458,4.8,9.5,.499,2.6,6.5,.397,4.4,5.7,.772,0.8,4.1,4.9,1.8,0.7,0.6,1.7,1.8,21.7,Dalton Knecht
5,Colorado,24,18,28.4,4.5,8.1,.552,3.8,6.4,.588,0.7,1.7,.415,2.3,3.2,.714,0.7,2.3,3.0,1.6,0.6,0.7,2.0,2.0,11.9,Cody Williams
6,Providence,66,66,33.7,5.5,12.0,.454,3.7,6.9,.532,1.8,5.2,.350,3.7,5.0,.735,1.1,5.7,6.8,3.0,1.8,1.0,2.2,2.0,16.4,Devin Carter
7,Baylor,35,35,32.3,4.1,10.9,.376,2.0,4.7,.423,2.1,6.3,.341,4.1,5.2,.792,1.3,3.1,4.4,1.4,1.1,0.2,1.3,2.1,14.5,Ja'Kobe Walter
8,Duke,36,36,31.6,4.9,10.5,.462,2.4,4.7,.521,2.4,5.8,.414,2.1,2.4,.885,0.8,4.2,5.0,1.9,1.1,0.1,1.3,1.6,14.3,Jared McCain
9,Purdue,138,108,24.9,6.7,10.8,.621,6.7,10.8,.621,0.0,0.0,.500,4.8,6.8,.706,3.9,5.7,9.6,1.3,0.2,1.7,1.9,2.0,18.2,Zach Edey
10,Colorado,124,98,26.9,4.3,8.8,.493,3.1,5.7,.553,1.2,3.1,.386,1.8,2.3,.786,1.0,2.9,3.8,1.6,0.9,0.4,1.6,1.9,11.7,Tristan Da Silva
11,Kansas,33,19,24.1,2.9,6.2,.466,1.6,2.5,.642,1.3,3.8,.352,1.9,2.5,.765,1.3,3.6,4.9,1.0,0.9,0.3,0.8,2.1,9.0,Johnny Furphy
12,Miami (FL),31,16,23.0,2.6,6.1,.426,0.9,1.9,.467,1.7,4.2,.408,0.7,0.9,.778,0.5,2.6,3.0,2.2,0.9,0.4,1.5,1.8,7.6,Kyshawn George
13,Duke,72,72,29.8,5.7,12.0,.473,4.7,8.7,.533,1.0,3.3,.314,3.4,4.7,.718,2.4,6.3,8.6,2.2,1.2,1.1,2.3,2.8,15.8,Kyle Filipowski
14,USC,27,26,30.0,5.7,11.6,.490,4.7,8.7,.543,1.0,3.0,.338,3.9,5.8,.673,0.6,2.3,2.9,4.3,1.5,0.2,3.3,2.4,16.3,Isaiah Collier
15,Pitt,33,33,33.2,4.8,11.7,.412,2.8,5.6,.511,2.0,6.1,.322,2.2,2.8,.785,0.5,4.7,5.2,4.1,0.6,0.2,1.9,2.4,13.8,Carlton Carrington
16,Baylor,34,32,22.9,4.1,6.7,.614,4.1,6.7,.614,0.0,0.0,,2.5,4.1,.616,2.6,3.0,5.6,0.4,0.6,1.5,1.1,2.4,10.7,Yves Missi
17,Indiana,30,30,32.2,6.3,10.7,.586,5.7,9.4,.609,0.6,1.3,.425,2.8,4.5,.634,2.1,7.8,9.9,1.5,0.6,1.9,1.6,2.0,15.9,Kel'el Ware
18,Creighton,72,72,34.7,5.3,12.1,.437,2.5,4.7,.537,2.7,7.3,.373,2.3,2.6,.862,0.8,7.8,8.6,3.6,1.0,0.2,2.2,1.9,15.5,Baylor Scheierman
19,Kentucky,32,30,21.4,3.3,6.8,.486,2.3,4.2,.564,1.0,2.7,.365,1.2,1.5,.776,1.2,2.2,3.4,0.9,0.9,0.2,0.8,2.2,8.8,Justin Edwards
20,Marquette,99,99,31.5,4.2,9.4,.444,2.8,5.6,.503,1.3,3.7,.354,2.1,2.5,.822,0.6,3.6,4.2,7.0,1.6,0.1,2.6,1.6,11.7,Tyler Kolek
21,Kansas,60,59,32.2,4.7,10.5,.450,3.6,6.9,.519,1.1,3.6,.316,3.5,4.4,.786,1.0,5.6,6.6,3.1,1.8,0.6,2.3,2.5,14.0,Kevin McCullar Jr.
22,Illinois,63,61,33.0,6.0,13.0,.460,4.0,7.2,.555,2.0,5.9,.344,6.1,7.7,.796,1.0,3.3,4.3,2.5,1.1,0.7,2.3,2.3,20.2,Terrence Shannon Jr.
23,Virginia,65,34,20.6,2.3,4.2,.544,2.1,3.4,.616,0.2,0.8,.235,0.8,1.5,.525,1.5,3.6,5.0,0.5,0.9,1.7,0.6,1.7,5.5,Ryan Dunn
24,California,31,30,34.3,7.2,15.4,.465,5.5,10.9,.509,1.6,4.5,.360,3.6,4.6,.796,1.6,5.1,6.8,3.5,1.2,0.5,3.1,2.1,19.6,Jaylon Tyson
25,Minnesota,33,26,30.1,3.8,9.4,.403,1.7,4.0,.420,2.1,5.4,.391,1.6,2.0,.791,0.2,3.4,3.6,2.2,0.6,0.3,1.2,1.6,11.3,Cam Christie
26,UConn,78,77,30.2,4.1,8.4,.487,2.2,3.6,.619,1.9,4.8,.389,1.2,1.4,.852,1.5,3.3,4.8,1.6,0.7,0.8,1.0,2.1,11.3,Alex Karaban
27,UCLA,66,65,24.7,3.9,6.3,.621,3.9,6.3,.622,0.0,0.0,.000,2.3,3.5,.652,2.1,3.5,5.6,1.0,0.8,1.7,1.9,3.5,10.1,Adem Bona
28,San Francisco,34,34,28.9,6.1,9.5,.636,6.1,9.5,.640,0.0,0.1,.000,2.1,3.1,.692,3.3,6.8,10.1,3.6,1.6,0.8,1.8,2.6,14.2,Jonathan Mogbo
29,UNC,37,36,32.8,4.4,10.2,.430,2.6,5.7,.467,1.8,4.6,.385,1.6,2.6,.612,2.6,6.2,8.8,2.2,1.4,0.4,1.4,1.9,12.2,Harrison Ingram
30,UCSB,91,87,32.5,5.5,10.8,.511,4.8,8.6,.558,0.8,2.3,.332,4.2,5.2,.818,0.2,2.7,3.0,4.3,1.1,0.3,2.2,2.4,16.1,Ajay Mitchell
31,Arizona,108,56,26.0,3.3,6.6,.494,2.2,3.9,.568,1.0,2.6,.385,2.4,3.0,.799,0.9,3.0,3.9,2.8,0.8,0.2,1.7,2.5,9.9,Pelle Larsson
32,Iowa,101,41,20.6,3.5,8.3,.426,1.7,3.2,.525,1.9,5.1,.365,1.7,1.9,.898,1.0,3.2,4.2,1.6,0.5,0.2,0.8,1.7,10.6,Payton Sandfort
33,Weber State,119,96,32.8,5.0,10.0,.499,4.1,7.3,.565,0.9,2.7,.320,4.2,5.1,.823,1.1,8.5,9.6,3.5,1.7,0.1,2.7,2.0,15.0,Dillon Jones
34,Arizona,36,36,27.6,4.2,7.9,.530,3.2,5.3,.599,1.0,2.6,.387,2.1,3.0,.710,2.0,3.9,5.9,1.8,1.0,0.7,1.6,2.1,11.5,Keshad Johnson
35,Colorado,98,66,29.6,4.9,11.4,.429,3.5,7.5,.471,1.4,3.9,.347,3.4,4.1,.834,0.6,3.7,4.3,3.9,1.3,0.1,2.3,2.0,14.6,KJ Simpson
36,Dayton,102,102,32.5,6.2,10.5,.588,5.8,9.4,.614,0.4,1.1,.358,4.4,6.5,.671,2.0,5.5,7.5,1.9,0.7,2.1,1.9,1.9,17.1,DaRon Holmes II
37,Houston,138,108,27.5,3.6,8.8,.412,2.7,5.6,.476,0.9,3.1,.296,1.5,2.0,.772,0.6,2.3,2.8,5.0,1.6,0.3,1.8,1.9,9.7,Jamal Shead
38,USC,25,6,19.3,1.6,4.5,.366,1.0,2.1,.481,0.6,2.4,.267,0.9,1.4,.676,0.3,2.6,2.8,2.1,0.8,0.2,1.1,1.7,4.8,Bronny James
39,Wake Forest,34,34,35.4,6.6,13.5,.487,4.4,8.1,.542,2.2,5.4,.405,2.6,3.4,.783,0.6,3.4,4.1,2.5,1.1,0.6,1.9,1.8,18.0,Hunter Sallis
40,Baylor,69,69,29.5,3.9,8.1,.484,2.3,3.9,.597,1.6,4.2,.378,1.9,2.3,.800,2.1,3.5,5.7,1.2,1.0,0.8,1.0,1.9,11.2,Jalen Bridges
41,Marquette,109,72,26.7,4.2,6.7,.624,4.2,6.7,.626,0.0,0.0,.000,1.5,2.4,.616,1.8,3.4,5.3,2.3,0.8,1.2,1.4,2.2,9.9,Oso Ighodaro
42,Washington State,35,34,31.7,5.7,9.9,.575,5.7,9.5,.596,0.0,0.4,.071,3.9,5.5,.712,2.3,5.3,7.6,1.5,0.5,1.1,1.9,2.0,15.3,Isaac Jones
43,Washington State,34,20,29.2,4.1,9.4,.436,2.0,4.4,.457,2.1,4.9,.417,2.3,2.9,.814,1.2,3.4,4.6,1.2,0.5,0.2,0.7,1.9,12.6,Jaylen Wells
44,Akron,132,122,27.8,5.3,8.5,.628,5.2,8.1,.644,0.2,0.5,.350,3.1,4.6,.670,3.1,7.6,10.6,1.3,0.6,1.4,1.9,2.5,14.0,Enrique Freeman
45,UConn,40,40,33.0,4.9,10.1,.484,2.4,4.5,.539,2.5,5.6,.440,2.1,2.3,.911,1.1,3.8,4.9,3.6,1.5,0.3,1.0,2.2,14.3,Cam Spencer
46,Kentucky,67,47,29.6,6.0,12.9,.467,3.6,7.1,.504,2.4,5.8,.422,2.8,3.3,.830,0.6,2.6,3.1,1.4,0.5,0.2,1.3,1.9,17.2,Antonio Reeves
47,BYU,66,36,27.3,4.0,9.8,.410,1.9,3.7,.512,2.2,6.2,.349,1.2,1.4,.844,0.4,2.3,2.7,1.6,0.8,0.5,1.5,1.7,11.4,Jaxson Robinson
48,Arkansas,35,23,26.1,3.3,6.8,.485,2.3,4.1,.570,1.0,2.8,.361,1.8,2.6,.689,1.5,4.4,5.9,0.6,0.7,1.2,1.7,2.4,9.4,Trevon Brazile
49,Kentucky,40,14,14.0,1.3,2.4,.543,1.3,2.3,.548,0.0,0.0,.000,0.6,1.0,.585,1.5,2.4,3.9,0.2,0.3,2.1,0.5,1.1,3.2,Ugonna Onyenso
